"title.text","rating","sentiment_score","has_information_giving","has_information_seeking","has_feature_request","has_bug_report","informative","wordCount","hasQuestionMark","hasExclamationMark","app_name","has_user_exp","informative_withseeking"
"Needless one needs necessarily a Facebook account to be able to use this app. Since I have no back down with the app",1,2,1,0,0,0,1,23,0,0,"BLINQ",1,1
"Simple, just awesome Simple, well-implemented",5,1,0,0,0,0,0,5,0,0,"BLINQ",0,0
"fresh and simple as is so often a smart concept and a very easy to use is simply the best mixture. In addition",5,1,0,0,0,0,0,23,0,0,"BLINQ",0,0
"super super idea with beautiful design",4,1,0,0,0,0,0,6,0,0,"BLINQ",0,0
"Tip Top Super people here have, exclusively made only good experience ;-)",5,1,0,0,0,0,0,12,0,0,"BLINQ",0,0
"Very poor service waiting and waiting and waiting ... you will not be included as members for days. Very poor customer service. The postiven reviews most likely fakes. Delete app again.",1,2,1,0,0,0,1,31,0,0,"BLINQ",1,1
"just great !! The app is very well done: simple and straightforward to use! Have seen many cool people know! ;-)",5,1,0,0,0,0,0,21,0,1,"BLINQ",0,0
"Bad ðŸ‘Ž app downloaded more than 1 month or logged profile has not yet been activated, contact Support no answer, have written 3 times.",1,2,1,0,0,0,1,24,0,0,"BLINQ",1,1
"unlock lasted for 3 weeks.",1,2,0,0,0,0,0,5,0,0,"BLINQ",0,0
"Cool app, to meet new people.  Great app",5,1,0,0,0,0,0,9,0,0,"BLINQ",0,0
"Did Although have to wait 7 days on my cut-off, but was worth it. Here hats people not with style as with many other apps ... ..  Finally good people",5,1,0,0,0,0,0,31,0,0,"BLINQ",0,0
"get to know new people Cool app.  Great app",5,1,0,0,0,0,0,10,0,0,"BLINQ",0,0
"The app has its charm by the fact that everything happens without obligation. The people that you can meet make a relatively serious impression and everything else you yourself in the hand ...  Once uncomplicated ...",5,1,0,0,0,0,0,37,0,0,"BLINQ",0,0
"Excellent app Its a great and fun app !!! Try it out!",5,1,0,0,0,0,0,12,0,1,"BLINQ",0,0
"Practical, great design, nice people! What more could you want?  Cool app",5,1,0,0,0,0,0,13,1,1,"BLINQ",0,0
"Far better than the whole Badoo handling ago, a surprising number of attractive people in there, yet. Unstable in all corners of the main parts are no is other users found in some places you will simply be logged out weggedrÃ¼ckte persons appear again in the feed. Reminiscent of Frustration Level ago on Flappy Bird, where you can also go back here often because you can not believe it last time went and convinced so wrong that it will now work out. Bottom line, but 4 stars, so there are more downloads and the bugs are fixed hopefully faster and more efficiently.  Schono funny",4,1,0,0,0,1,1,105,0,0,"BLINQ",0,1
"top Super App",5,1,0,0,0,0,0,3,0,0,"BLINQ",0,0
"review the profile not transparent rather uncool the app",2,2,1,0,0,0,1,9,0,0,"BLINQ",1,1
"Genial !! find the app awesome !! First, through the evaluation of the new user, the high number of fake profiles as is customary in other such Apps , prevents and secondly you have a super mix by !! The release was not even a day !! :)",5,1,1,0,0,0,1,48,0,1,"BLINQ",1,1
"Gfbvhh  Super App",5,1,0,0,0,0,0,4,0,0,"BLINQ",0,0
"Suuuuper !!!! Genial !!!!",5,1,0,0,0,0,0,4,0,1,"BLINQ",0,0
"shit app shit app",1,2,0,0,0,0,0,4,0,0,"BLINQ",0,0
"Now Ive been waiting two weeks That can not be true! Miserably! When I am finally received, I write to hire a new review, if I have the app to then not deleted ..!  wait -.-",1,2,1,0,0,0,1,37,0,1,"BLINQ",1,1
"Good app, but the distance information are very inaccurate (distances much less than in reality (both air and actual distance, whatever it is supposed to be) Please adjust absolutely! Thank you  distance",3,1,0,0,0,1,1,33,0,1,"BLINQ",0,1
"Cool people, cool design. Really fun!  Super App",5,1,1,0,0,0,1,9,0,1,"BLINQ",1,1
"the wait was worth it. Very well-done app!  Great App",5,1,0,0,0,0,0,11,0,1,"BLINQ",0,0
"Coole community with very open people. Try it!  Cool Community",5,1,0,0,0,0,0,11,0,1,"BLINQ",0,0
"Get  power had to wait a few days, but was worth it. Super App Fun",5,1,0,0,0,0,0,16,0,0,"BLINQ",0,0
"copy Tinder a really bad copy of Tinder ...",1,2,0,0,0,0,0,9,0,0,"BLINQ",0,0
"Awesome App - Great selection of people I love the app - the selection process gives you access to a great bunch of fun and happy people. One does not waste time weeding through mediocre contact requests.",5,1,1,0,0,0,1,37,0,0,"BLINQ",1,1
"After a week of no activation thereby quickly you lose the desire to use this app .... Verarsche? Tztzt",1,1,1,0,0,0,1,19,1,0,"BLINQ",1,1
"super thing! Cool app, decent people, good design !!! ",5,1,0,0,0,0,0,9,0,1,"BLINQ",0,0
"real awesome! Really Cool App",5,1,0,0,0,0,0,5,0,1,"BLINQ",0,0
"Top! Super App! Works flawlessly! I can only recommend ...",5,1,0,0,0,0,0,10,0,1,"BLINQ",0,0
"Cool app very fresh design and super easy to use. And the chicks are great cinema :)",5,1,0,0,0,0,0,17,0,0,"BLINQ",0,0
"Cool app with cool people there am impressed that you can decide as existing users who will be included in the community. So theres finally an app decent people!",5,1,1,0,0,0,1,29,0,1,"BLINQ",1,1
"After a week of no activation a result",1,2,1,0,0,0,1,8,0,0,"BLINQ",1,1
"one can lose the desire to use this app .... ",0,2,0,0,0,0,0,10,0,0,"BLINQ",0,0
"Finally good people Did Although have to wait 7 days on my cut-off, but was worth it. Here hats people with style not apps like many other. ..",5,1,1,0,0,0,1,28,0,0,"BLINQ",1,1
"and without Facebook no chance ?? !!! Absolutely bad app because it can be deregistered with Facebook !!! That can not be that one forced is to open a Facebook account to log out here? There are other ways to verify the authenticity of a user !!! ",1,2,1,0,0,0,1,47,1,1,"BLINQ",1,1
"Facebook?!?!? Is nowadays nothing without Facebook?!?!",1,2,1,0,0,0,1,6,1,1,"BLINQ",1,1
"Good app works pretty. But has often delay chatting ... improvement but otherwise top! ",4,1,0,0,0,1,1,14,0,1,"BLINQ",0,1
"great app Great app with beautiful design! Had to wait a little longer though to be adopted, (2 weeks) (have read that the current user you evaluate first must) which ensures the very attractive pool users arise lÃ¤sst..es was well worth it.",5,1,1,0,0,0,1,42,0,1,"BLINQ",1,1
"Neenee !! Facebook is needed ... Sorry but where does the way that it just goes with the Datenkrake Unfortunately No -> Delete",1,2,1,0,0,0,1,23,0,1,"BLINQ",1,1
"Only with Facebook really bad the App.2 minutes deleted immediately.",1,2,1,0,0,0,1,10,0,0,"BLINQ",1,1
"great app Great app with beautiful design! Had to wait a little longer though to be adopted, (2 weeks) (the need to have read the current user you evaluate first) which is certainly very attractive users arise pool lÃ¤sst..es was well worth it.",5,1,1,0,0,0,1,43,0,1,"BLINQ",1,1
"useless ... waiting for securely over 4 weeks on an access code ... Despite phenomenal",1,2,1,0,0,0,1,15,0,0,"BLINQ",1,1
"made it very cool with Hi and Bye  Cool concept",5,1,1,0,0,0,1,11,0,0,"BLINQ",1,1
"copy 1: 1 copy of the Tinder . App Holt the original!",1,2,0,0,0,0,0,12,0,1,"BLINQ",0,0
"angry well guess that this is a fraud-app. Get for weeks not any access and support to respond despite repeated requests",1,2,1,0,0,0,1,21,0,0,"BLINQ",1,1
"great app great app with beautiful design! Had to wait a little longer to be accepted but it was well worth it.",5,1,1,0,0,0,1,22,0,1,"BLINQ",1,1
"Wait ... waiting for more than 2 weeks for the activation. If still nothing happens ... hope this will change soon ...",1,2,1,0,0,0,1,22,0,0,"BLINQ",1,1
"cool concept made it very cool with Hi and Bye",5,1,1,0,0,0,1,10,0,0,"BLINQ",1,1
"Great App the wait was worth it. Very well-done app!",5,1,0,0,0,0,0,10,0,1,"BLINQ",0,0
"Super App Cool people, cool design. Really fun!",5,1,0,0,0,0,0,8,0,1,"BLINQ",0,0
"goes much too long Its far too long until the access code is, wait for more than a week :(",1,2,1,0,0,0,1,20,0,0,"BLINQ",1,1
"wait ... wait for a week despite receiving-assessment phenomenal in any reaction ... idea is great, but so the curiosity goes fast. what a shame.",2,2,1,0,0,0,1,25,0,0,"BLINQ",1,1
"to long wait In spite of a phenomenal - s review my profile, I was not taken even after more than a week in the community Property here. just read in the reviews that you have to wait two weeks. Too late, I have my account deleted already.",1,2,0,0,0,0,0,48,0,0,"BLINQ",0,0
"unlock despite the indication I had phenomenal. Does unlocking more than 2 weeks. Its too long.",1,2,1,0,0,0,1,16,0,0,"BLINQ",1,1
"Great app Love the great design. Fun Way to Get Introduced to new people! ",5,1,1,0,0,0,1,14,0,1,"BLINQ",1,1
"Super App, just when youre in a foreign city. I can only recommend.  blinq",5,1,0,0,0,0,0,15,0,0,"BLINQ",0,0
"Cool app Practical, great design, nice people! What more could you want?",5,1,0,0,0,0,0,12,1,1,"BLINQ",0,0
"Entertaining Acquaintance app I already met some nice people and the hi-en and bye-en is a fun pastime for Download the road. Definitely.",5,1,1,0,0,0,1,23,0,0,"BLINQ",1,1
"Top! Very cool people on the app and top design!",5,1,0,0,0,0,0,10,0,1,"BLINQ",0,0
"... app crashes at the moment to start ...",5,2,0,0,0,1,1,9,0,0,"BLINQ",0,1
"waiting ... wait for a week despite receiving-assessment phenomenal in any reaction ... idea is great, but so the curiosity goes fast. Pity.",2,2,0,0,0,0,0,23,0,0,"BLINQ",0,0
"Waiting on since 3D on an access code. If the starting problems, or is it worth to delete the App identical resist ....?  start trouble?!",1,2,1,0,0,0,1,26,1,1,"BLINQ",1,1
"very bad This app is pure Vera Rasche and draws just once all the data from the phone Facebook activation, location services - not the point ... no download, a waste of time ..",1,2,1,0,0,0,1,34,0,0,"BLINQ",1,1
"They Should call it Facebook blinq cause it works only with a FB account. Useless to me.  Facebook only",1,2,1,0,0,0,1,20,0,0,"BLINQ",1,1
"ðŸ‘ðŸ‘Ž you have to wait for an access code and it works only on Facebook Boock ... -.-",1,2,1,0,0,0,1,18,0,0,"BLINQ",1,1
"Cool design The first impression is ever gelungen.Korrektur: The input mask should be expanded, if you start a second line.",4,1,0,0,1,0,1,20,0,0,"BLINQ",0,1
"Great way to meet new people.  Just had my firt date in 2 years !!",5,1,0,0,0,0,0,16,0,1,"BLINQ",0,0
"I love this app! Sleek interface and just good fun! A must have!  Great app",5,1,1,0,0,0,1,16,0,1,"BLINQ",1,1
"class! Find the app is really fun! The link with FB I think is good! Design also great - I like! ;)",5,1,1,0,0,0,1,22,0,1,"BLINQ",1,1
"Awesome app to meet interesting people!  Just great!",5,1,0,0,0,0,0,9,0,1,"BLINQ",0,0
"Really Cool App  real awesome!",5,1,0,0,0,0,0,6,0,1,"BLINQ",0,0
"Well done After many apps in this kind, this app has a refreshing new, bravo!",5,1,0,0,0,0,0,15,0,1,"BLINQ",0,0
" Crashing all 5 min",3,2,0,0,0,1,1,5,0,0,"BLINQ",0,1
"Problem Search with the people appears to be designed quite nice. However",2,2,1,0,0,1,1,12,0,0,"BLINQ",1,1
"Extrem frivolous I was not included due to a few Facebook friends. What a impudence now you will be measured on number of friends and mainstream advertising still makes for such a shit App.",1,2,1,0,0,0,1,34,0,0,"BLINQ",1,1
"Awesome app Really good experience and simple interface.",5,1,0,0,0,0,0,8,0,0,"BLINQ",0,0
"Facebook ""Selbst when my FB account would still active; if the keyboard is not popping up",1,2,1,0,0,1,1,16,0,0,"BLINQ",1,1
"Good Sollid",5,1,0,0,0,0,0,2,0,0,"BLINQ",0,0
"Help Whats The Access code??",3,0,0,1,0,0,0,5,1,0,"BLINQ",0,1
"Help Where I can find Access code?",1,0,0,1,0,0,0,7,1,0,"BLINQ",0,1
"Too Many app crashes APP never comes up after standby or background tasks",2,2,0,0,0,1,1,13,0,0,"BLINQ",0,1
"Keeps crashing ""It just keeps crashing and not to mention did the whole access code is complete bull shit. What are you making",1,2,1,0,0,1,1,23,0,0,"BLINQ",1,1
"Never Accepted I let you almost 1 month to accept me and nothing happened. Certainly Because I do not want to invite my friends. This app is to meet new people not the people did already knew .. Anyway I uninstall",1,2,1,0,0,0,1,41,0,0,"BLINQ",1,1
"sturzt off ""the app keeps crashing",2,2,0,0,0,1,1,6,0,0,"BLINQ",0,1
"No answer I subscribed one month ago and no answer! It is not serious ..",1,2,1,0,0,0,1,15,0,1,"BLINQ",1,1
" Ich do not have a Facebook absolute garbage",1,2,1,0,0,0,1,9,0,0,"BLINQ",1,1
"Does not work well on Android ""I have to manually close and restart the app everytime I want to use it. Sometimes it is so slow at loading content or messages did I rather quit. So",2,0,0,0,0,1,1,36,0,0,"BLINQ",0,1
"Echtheit . by number FB friends ??? ""300 Facebook friends do not seem to be enough to act as a socially and genuinely on request by mail (2weeks after installing the apps) was the answer: Sorry sorry we can not change the system that comunity decides who is included .... (in my employees was the .... Profile activated after one minute 600+ Facebook friends appear to be well acceptable)",1,2,1,0,0,0,1,69,1,0,"BLINQ",1,1
"Ok Good",5,1,0,0,0,0,0,2,0,0,"BLINQ",0,0
"Keine Activation waiting since 2 weeks on the activation of my account",1,2,1,0,0,0,1,12,0,0,"BLINQ",1,1
"... ""My match disappeared right after he sent me a message and it takes so long time to load once I opened this app",3,2,0,0,0,1,1,24,0,0,"BLINQ",0,1
"No code I can not get to Access Code. If you give me one Ill rate 5 stars",4,2,1,0,0,0,1,18,0,0,"BLINQ",1,1
" Absolute shit APP is only for people not stand the thought as to privacy best 0 Sterne!!!!",1,2,0,0,0,0,0,18,0,1,"BLINQ",0,0
"Cool Interestingly fun",4,1,0,0,0,0,0,3,0,0,"BLINQ",0,0
"Echtheit by number FB friends ??? ""Edit: 2 months since I have the app",1,2,0,1,0,0,0,14,1,0,"BLINQ",0,1
" No Access Code. They have to change the fact that users give random ppl give new users access code",1,2,0,0,1,0,1,20,0,0,"BLINQ",0,1
"Dating Great app",5,1,0,0,0,0,0,3,0,0,"BLINQ",0,0
"was ? if no fb account ""? not possible to log in without a facebook account",3,2,1,0,0,0,1,16,1,0,"BLINQ",1,1
"Soviel Stars like hit soon comes the fourth and fifth star added just waiting :-). Why do I have on the iPhone and on the instaConnect not Android? From time to time would be an undo button desirable bask the app is ok. Has at least no or few fakeprofile thanks verifying what good is as it is",3,0,1,1,1,0,1,58,1,0,"BLINQ",1,1
"Good Good luck with the latest",3,1,0,0,0,0,0,6,0,0,"BLINQ",0,0
"Reply No One reply",1,2,0,0,0,0,0,4,0,0,"BLINQ",0,0
" Anmelden only works with Facebook",1,2,1,0,0,0,1,6,0,0,"BLINQ",1,1
"Anmeldung only with facebook - mess am a convinced Facebookmeider. Unbelievable that it should be impossible without a profile there to register with blinq. Authenticity of the profile can be secured in addition also different. Other apps can alsos. Fail",1,2,1,0,0,0,1,40,0,0,"BLINQ",1,1
"Access code ""I would have loved to try",2,2,1,0,0,0,1,8,0,0,"BLINQ",1,1
"Hey guys Hey man",5,1,0,0,0,0,0,4,0,0,"BLINQ",0,0
"Access code how to get the access code? Without it i cant even browse for people.",2,2,0,1,0,0,0,16,1,0,"BLINQ",0,1
"BLINDQ OK",5,1,0,0,0,0,0,2,0,0,"BLINQ",0,0
"tolle Idea; poor implementation on Android ... why are still simple iOS apps 1-to-1 on Android portiert...??",3,2,0,1,0,0,0,17,1,0,"BLINQ",0,1
"Keine Connection possible despite good Reier Internet connection the app suddenly stopped working. She hangs on the start screen and the wheel rotates with relish his rounds. Unfortunately nothing has brought even to reinstall the app. Please order Hilfe",1,2,0,0,0,1,1,39,0,0,"BLINQ",0,1
"Cool Nice",4,1,0,0,0,0,0,2,0,0,"BLINQ",0,0
"Soziale Relevance Bin in fb regularly active but here I was not taken for months! App unusable",1,2,1,0,0,0,1,17,0,1,"BLINQ",1,1
" Bravo",5,1,0,0,0,0,0,2,0,0,"BLINQ",0,0
"DO NOT INSTALL ""This app is pure horseshit and a waste of time and energy. You install it expecting to be dating right away",1,2,0,0,0,0,0,24,0,0,"BLINQ",0,0
"Die Community ""You read hardly a contribution from people who were enrolled in the alleged community. ... For a month",1,2,0,0,0,0,0,20,0,0,"BLINQ",0,0
"Painfully slow This puzzle would be enjoyable if it was not so painfully slow.",1,2,0,0,0,1,1,14,0,0,"Doodle Pairs",0,1
"Doodle pairs Love it",5,1,0,0,0,0,0,4,0,0,"Doodle Pairs",0,0
"Awesome memory game!!!! Love this game, its just hard enough to keep your mind working.  I have played this game everyday since I downloaded it.",5,1,0,0,0,0,0,26,0,1,"Doodle Pairs",0,0
"Great Memory Game I love love love this game!! It keeps you on your toes and is never boring.",5,1,0,0,0,0,0,19,0,1,"Doodle Pairs",0,0
"Great fun... Great fun for all ages!!",5,1,0,0,0,0,0,7,0,1,"Doodle Pairs",0,0
"Best matching game yet Fun",5,1,0,0,0,0,0,5,0,0,"Doodle Pairs",0,0
"Walkinby Great game to sharpen any age levels memory skills.",4,1,0,0,0,0,0,10,0,0,"Doodle Pairs",0,0
"Distracting ads Used to be an excellent game, but ads ruin the free version .",1,2,1,0,0,0,1,15,0,0,"Doodle Pairs",1,1
"Love it!!! Its a fun game to pass the time away and it also makes you think and remember things!!!",4,1,0,0,0,0,0,20,0,1,"Doodle Pairs",0,0
"Kathy Fun game...addictive!",4,1,0,0,0,0,0,3,0,1,"Doodle Pairs",0,0
"Love it! I love this game! I spend way too much time playing it!",5,1,0,0,0,0,0,14,0,1,"Doodle Pairs",0,0
"Fun game This is one of my favorite games!",5,1,0,0,0,0,0,9,0,1,"Doodle Pairs",0,0
"Cute doodles! Love this game.  It sharpens the brain and its fun to play because of the great doodles!",5,1,0,0,0,0,0,20,0,1,"Doodle Pairs",0,0
"Cool classic fun! Just as fun as those little cards, without the mess!",4,1,0,0,0,0,0,13,0,1,"Doodle Pairs",0,0
"Great Game Fun and just hard enough",4,1,0,0,0,0,0,7,0,0,"Doodle Pairs",0,0
"iOS 8 Does not work with iOS 8",1,2,1,0,0,1,1,8,0,0,"Doodle Pairs",1,1
"Wow Really enjoyed it till IOS8, cant get it to load properly now.",5,1,0,0,0,1,1,13,0,0,"Doodle Pairs",0,1
"Great app Really enjoyable app and great for the mind",5,1,0,0,0,0,0,10,0,0,"Doodle Pairs",0,0
"Jojodyanna Brain work out :) find it therapeutic!",5,1,0,0,0,0,0,8,0,1,"Doodle Pairs",0,0
"Simple, good fun, does what it says on the tin :) Good fun, what I was looking for",5,1,0,0,0,0,0,18,0,0,"Doodle Pairs",0,0
"Nice app Excellent",5,1,0,0,0,0,0,3,0,0,"Doodle Pairs",0,0
"Pairs Its a pair game; you cant really go wrong??",4,1,0,0,0,0,0,10,1,0,"Doodle Pairs",0,0
"Jojodyanna Keeps my brain going :)",5,1,0,0,0,0,0,6,0,0,"Doodle Pairs",0,0
"Miss Love this game ... Great for brain training!!",5,1,0,0,0,0,0,9,0,1,"Doodle Pairs",0,0
"Great Enjoy this game, have fun beating the clock.",4,1,0,0,0,0,0,9,0,0,"Doodle Pairs",0,0
"Brilliant I love this game gets the old memory working",5,1,0,0,0,0,0,10,0,0,"Doodle Pairs",0,0
"Pairs Brill game",5,1,0,0,0,0,0,3,0,0,"Doodle Pairs",0,0
"Perfect time pass Very good...",5,1,0,0,0,0,0,5,0,0,"Doodle Pairs",0,0
"Ace free mind app Great little game, simple but challenging",5,1,0,0,0,0,0,10,0,0,"Doodle Pairs",0,0
"Good memory game Simple instructions good fun",5,1,0,0,0,0,0,7,0,0,"Doodle Pairs",0,0
"Could be good, but... The pop-up ads block the actual game area. VERY FRUSTRATING AND POORLY DESIGNED. Otherwise a fun little memory game.",1,2,1,0,0,0,1,23,0,0,"Doodle Pairs",1,1
"Minesweeper Intuitive fun and as challenging as you want to make it.",5,1,0,0,0,0,0,12,0,0,"Minesweeper Reloaded",0,0
"Very addictive You wont put it down. Just like the original, but better-looking.",5,1,0,0,0,0,0,13,0,0,"Minesweeper Reloaded",0,0
"Mind sweeper Blew my mind, a problem solving cognitive workout!",5,1,0,0,0,0,0,10,0,1,"Minesweeper Reloaded",0,0
":( Not as good as ""Minesweeper :-)""",2,2,0,0,0,0,0,7,0,0,"Minesweeper Reloaded",0,0
"Its great However when one is constantly playing the MSG ""u lost"" shd only show once and when one has lost a new game shd start. I hate having to wait till the msg displays then click on start again.",3,1,0,0,0,1,1,40,0,0,"Minesweeper Reloaded",0,1
"Parfait / Perfect Tres cool jeu de demineur avec tres bons graphiques! / Very cool minesweaper game with very good graphics!*****Manque un tableau pour voir nos scores...*****",5,0,1,0,0,0,1,27,0,1,"Minesweeper Reloaded",1,1
"Classic Classic game",5,1,0,0,0,0,0,3,0,0,"Minesweeper Reloaded",0,0
"Goodyear game Challenging....",4,1,0,0,0,0,0,3,0,0,"Minesweeper Reloaded",0,0
"Does not work Game crashes at difficulty selection screen.",1,2,0,0,0,1,1,9,0,0,"Minesweeper Reloaded",0,1
"Addictive Retro but modern! Love it!",5,1,0,0,0,0,0,6,0,1,"Minesweeper Reloaded",0,0
"Minesweeper Great game very addictive",5,1,0,0,0,0,0,5,0,0,"Minesweeper Reloaded",0,0
"Minesweeper Great",5,1,0,0,0,0,0,2,0,0,"Minesweeper Reloaded",0,0
"Straight forward fun. Good. Simple. No hassle.",5,1,0,0,0,0,0,7,0,0,"Minesweeper Reloaded",0,0
"Minesweeper Basic but addictive and fun",3,1,0,0,0,0,0,6,0,0,"Minesweeper Reloaded",0,0
"Just great Its great and I like it and I leave satisfied",4,1,0,0,0,0,0,12,0,0,"Minesweeper Reloaded",0,0
"Minesweeper Great version of classic game.",5,1,0,0,0,0,0,6,0,0,"Minesweeper Reloaded",0,0
"Minesweeper Fantastic game!! My favourite!!",5,1,0,0,0,0,0,5,0,1,"Minesweeper Reloaded",0,0
"Excellent Addictive",5,1,0,0,0,0,0,2,0,0,"Minesweeper Reloaded",0,0
"Minesweeper Good game.",4,1,0,0,0,0,0,3,0,0,"Minesweeper Reloaded",0,0
"Entertaining version Once you get the touch right its a challenging game. Im pretty good at the standard game and Ive only won the hard setting once. Addictive!",4,1,0,0,0,0,0,28,0,1,"Minesweeper Reloaded",0,0
"Great game! No need to say more!",5,1,0,0,0,0,0,7,0,1,"Minesweeper Reloaded",0,0
"Minesweeper Really great version of a classic favourite!",5,1,0,0,0,0,0,8,0,1,"Minesweeper Reloaded",0,0
"Excellent! Excellent!",5,1,0,0,0,0,0,2,0,1,"Minesweeper Reloaded",0,0
"Ace! Ace! Cant stop playing it!",5,1,0,0,0,0,0,6,0,1,"Minesweeper Reloaded",0,0
"Good enoughâ€¦ Only negative is that when you win, there is no sound to indicate success. Trivial?",4,1,0,0,1,0,1,17,1,0,"Minesweeper Reloaded",0,1
