title.text,rating,has_information_giving,has_feature_request,has_bug_report,informative,wordCount,hasQuestionMark,hasExclamationMark,has_user_exp
Just Awful Loaded to my iTouch.  In it Everything is completely opposite - East reads as West.  North reads as South etc.  Don't get this app unless you want to get lost!!  Will proceed to Delete immediately.,1,0,0,1,1,41,0,1,0
" Become very unstable and unsupported to my device	Now a days it gives a big problem for my HTC desire V device  whenever someone or group chat text message me in marathi language or used in more smily in that  message that time whatsapp is directly closed and suddenly come back to the home screen and never open it",1,0,0,1,1,61,0,0,0
" What the heck?	Love the program BUT since you added the 'share this pin'  option I have been receiving spam that my friends did not send  My account was hacked too How about a fix???",2,0,0,1,1,37,1,0,0
Buggy In theory it's great but once a PDF is selected it can be impossible to close it  I have resorted to tapping relentlessly on my screen so some magic will show the tools  The PDF just sits there  Way more effective to go through a browser  Really?  Irritating!,2,0,0,1,1,54,1,1,0
" Im a dude	Im a dude and i love pinterest The app is little glitchie on Android and iPhone but its getting better",5,0,0,1,1,23,0,0,0
Crashes every time I try to load 1000 songs! Doesn't work at all.  Want my .99 or an app that works!,1,0,0,1,1,22,0,1,0
"Good I like this game a lot, play all the time cannot put down...however there is one issue, the game lags can you please fix. Thanks",4,0,0,1,1,26,0,0,0
"Open in for music files? Why did you remove open in option for music files?
I used to be able to do this with my sound files Why??",1,0,0,1,1,27,1,0,0
" I love pinning!	I love pintrest and this app lets me use it anywhere The only problem I've had is that if i turn my phone sideways, the screen gets messed up and i have to exit out of the appplease fix!",4,0,0,1,1,42,0,1,0
Don't like anymore Can't easily share composition due to file type.,1,0,0,1,1,11,0,0,0
Office documents Use to be good until I cannot open any office documents,1,0,0,1,1,13,0,0,0
Still lost Is been downloading for 2 days and still downloading,1,0,0,1,1,11,0,0,0
 its problem is about not being allowed ur last online status,3,0,0,1,1,12,0,0,0
Great app but one problem with the new update Great app I love the new design but with the new update when you try to share a link to a specific file that has a space in the file name I have to manually replace the spaces with %20 so it will hyperlink correctly This used to not be a problem Please fix this ?? Other than that one problem this is a great app also I like the fact that if you download a picture from the app onto the iPhone it doesn't auto upload the picture so you have 2 copies of the same photo in the auto upload folder Thank you for that fix Keep up the great work??,4,0,0,1,1,122,1,0,0
Horrible App! Crap! Crap. Doesn't work. Try something else. Don't waste your time!!!,1,0,0,1,1,13,0,1,0
 Crashes all the time!,3,0,0,1,1,5,0,1,0
NA it is very important to add a landscape sheet orientation and Word Art (basic options at least),4,0,0,1,1,18,0,0,0
"Gets worse with every release Used to be a good application with ability to search cities you haven't yet reached and filter by rating as well as proximity however those features have been replaced with functionality focused on marketing hotels

Don't use this application purchase a good guidebook instead",1,0,0,1,1,48,0,0,0
Not for texting Doesn't work for texting. You have to update ap or give instructions how it works for text. Just one star for trying. I'm a texting person. But this ap doesn't do that.,1,0,0,1,1,35,0,0,0
"Love! I love having my nook on my iPad and I love having so many books always with me. Sometimes, though, I wish I could get certain books they don't have.",5,0,0,1,1,31,0,1,0
" Good as an editor,but a little slow	Yeah! It is good but a li'l bit slow ",4,0,0,1,1,16,0,1,0
Wack Google Earth This App Is Horrible. They Need To Update It x5. I Juss Got It And Its Taking Forever For The Features To Load. #TRASHHHH!,1,0,0,1,1,27,0,1,0
"Was my fave app, now crashes and I can't access anything As recently as last week, I used this as almost my central control for everything  After the latest upgrades, there were issues and now it crashes and I cannot access anything  I am left in a very difficult situation  Please fix it!",1,0,0,1,1,56,0,1,0
"NA Great game	Was at last able to download it. The game is very good, graphics are awesome, loved it a lot. App is really smooth. I just wish the upgrades were permanent and the customization was more like the original most wanted and free roam feature is there. Rest is perfect.",4,0,0,1,1,51,0,0,0
Can't read cached PDF please fix it it's the most often used function for me,1,0,0,1,1,15,0,0,0
Fix it! I will give this app a much higher rating if you fix the Larimer County Fire and EMS...,1,0,0,1,1,20,0,1,0
"Problems with this version Started with app not getting all notes Deleted and reinstalled app Fixed that Now when I select all notes, it opens to a specific note and freezes when I try to go back So here I am to try reinstalling again iPhone 5 ios7",1,0,0,1,1,48,0,0,0
"Needs a fix... I loved this app. I used it all the time, but after the update it won't get connected. And it crashes a lot. What's up with that?",2,0,0,1,1,30,1,0,0
"Buggy, Worthless but Cool Love the organization, features, and style, but the bugs make it impossible to use. The app isn't worth the money until the bugs are fixed.",2,0,0,1,1,29,0,0,0
Why did it change?? Why did it update?? It logged me out and now it took all my books. I also haven't found how to buy books. Where is the store!?!? I need help...,3,0,0,1,1,34,1,1,0
" Great app but	I wish I could move pins, from one board to another, in bulk instead of one by one When I edit my boards it takes too long to move one pin at a time Other than that I love the app",4,0,0,1,1,44,0,0,0
"NA Not good	Why i cannot clear chat history. Come on.  There is no option for clear history. Please fix that!",2,0,0,1,1,21,0,1,0
Photo issues Has started having issues sending photos recently. I have to send a half dozen before one will go througj,4,0,0,1,1,21,0,0,0
"nice! but i don't understand why we can't add a website even though it's an option also, it'll be cool to add videos!",5,0,0,1,1,23,0,1,0
"Bugs? At around 5pm every day all of my latest (today's) files just disappear They are still there though I can search for them and find them Then tomorrow, they are magically back!

On my desktop there is no issue Just on iOS 

Is this a known bug?",3,0,0,1,1,47,1,1,0
"Hate it Worst thing I ever brought, I want my four dollars back!!!!! Don't work good at all!!!!!",1,0,0,1,1,18,0,1,0
"Great app ? but watch out for iPad2 iOS7 hassles I find I must logon again each and every time I open the app on my iPad2 running iOS7 Curiously, this doesn't happen on my iPhone 4S Grr",5,0,0,1,1,38,1,0,0
"Functionality on App doesn't compare to web site Need to improve functionality on this app 
Can't vote reviews helpful
Can't read your own contributions or see badges
Have to scroll thru all the pictures to get to the end Would be nice if you could skip to the oldest newest Pics without scrolling thru each one 
Back button needs work as well

Otherwise, good for the basics!",3,0,0,1,1,64,0,1,0
"Stop breaking it please Updated and lost all my notes Great work guys Do all your fans a favor - fire all your current programmers, offer the 2011 version as an update, and then call it a day",1,0,0,1,1,38,0,0,0
Used to be great!! Not so much anymore This app used to be flawless! But after recent updates I have issues uploading things I'll select a bunch of my photos to back up and the app will crash out and only upload a few and not all Major bummer!,3,0,0,1,1,49,0,1,0
"Crashes constantly! :( It crashes constantly when searching for POIs, so I upgraded to 3.1.4 and it still crashes, maybe more often. Really frustrating that this is not coded better, it could be a very useful app. At least it was cheap.",2,0,0,1,1,42,0,1,0
Not very useful Can't even uploadtransfer a file from Pages,1,0,0,1,1,10,0,0,0
" 5 star	Excellent but a bit slow running",5,0,0,1,1,8,0,0,0
I like it)) Very good,5,0,0,1,1,5,0,0,0
Totally handy The app makes me manage my trip right on my phone Totally handy But the performance is no smooth at all The app needs to be fixed random crashes and glitchy performance,4,0,0,1,1,34,0,0,0
"Doesn't work 7510 doesn't connect and makes mess of network settings I was happy to see this app however it doesn't work and caused all sorts or network configuration problems. I called hp to reset printer, iPad, and computer and even they couldn't figure out what the problem was. After a ton of lost time I decided to erase the app and it allowed the iPad to find the printer using AirPrint again. This app needs a lot of work so I would use extreme caution downloading it at this time. Big waste of time!",1,0,0,1,1,95,0,1,0
Excel problem Won't let me view my excel spread sheets from my iPhone Please fix it other than that love the app,1,0,0,1,1,22,0,0,0
Doesn't work Flat out will not open on a new iPad Air,1,0,0,1,1,12,0,0,0
"Needs fix It was cool, until the last update where now I can't upload from my iPhone It starts uploading , the progress bar shows it going, then when radionics he'd, the progress bar just starts again and again going over and over",2,0,0,1,1,43,0,0,0
"Stopped working with dolphin Worked great with Dolphin, until the last update Now it is not",3,0,0,1,1,16,0,0,0
Excited about App but ... At first usage I realized that if you go to send an email there is no Cancel or Back button!  My App is stuck on this screen!  I don't know how the rest of it works because it's stuck on that screen :(,2,0,0,1,1,50,0,1,0
"Would be 5 stars if problems were fixed Since updating to iOS7 and latest update of Evernote the spell check feature is not there any longer  I utilize this for work, and rely on it for reports  I figured give it a couple of weeks and they would fix it, but it's been over two months now and no fix  Let's get it together Evernote team so I can give a 5 star review for this app again",3,0,0,1,1,81,0,0,0
"Pleeeease fix this app!!!! I have so many apps through my iPhone and this is the worst one I've ever used! It deletes messages that I dont delete, doesn't send messages that I send, and doesn't even save my favorites when I click to save them! Truly horrible. I really hope you guys upgrade and soon because it's making it pointless for me to be on the site...",1,0,0,1,1,68,0,1,0
"Don?t update Agree with recent reviewers - this update completely ruined this excellent app for the iPhone on IOS7 Doesn?t work AT ALL Opens, then freezes completely and can?t even open any of my notes or create new ones
Doesn?t anyone test these apps before releasing them??  Please fix ASAP!!",1,0,0,1,1,50,1,1,0
Avoid the iOS 7 Update It is overwriting my notes with outdated versions The complaints about syncing issues with the iOS 7 update are spot on Stay with the iOS6 version if possible!,1,0,0,1,1,33,0,1,0
"Cant even access to the account I use ipad mini But I cant even access to my account because the app crashes in iphone size every time i open it Need a hotfix, URGENT",1,0,0,1,1,34,0,0,0
" Love to Pin it!	I love pintrest Super fun ideas and the app works great most if the time Sometimes it spools but not very often",4,0,0,1,1,26,0,1,0
"Does not Work in iPhone 4 with iOS 7 I loved the app, but ever since I installed iOS 7 and updated the app, it does not start Please fix it",2,0,0,1,1,31,0,0,0
"New version is terrible Used to be my most used app, but now it's a pain to find hotels when searching a geographical location  I now have to enter numerous towns and do numerous searches to find what I'm looking for  New version is a step in wrong direction",5,0,0,1,1,51,0,0,0
"Please Fix!!! This may sound like a broken record, but I really like your app when it can download. But it can't now. I hate having to type this, but this needs to be fixed.",2,0,0,1,1,35,0,1,0
"Was nice Was nice , won't open since update",1,0,0,1,1,9,0,0,0
New version The current version doesn't show all files in dropbox Please fix!,2,0,0,1,1,13,0,1,0
"xls file issue I used to be able to view xls files on my iPad AND iPhone  I can still view them on my iPhone but they no longer open on the iPad 

Sometimes the files will open for a few seconds and then a gray screen comes up Most of the time I just get the gray screen  The gray screen has the file name, 'Office Open XML Spreadsheet'' and the file size

My spreadsheets are simple (no macros) and small in size  I've tried creating new spreadsheets and have the same issue  Web research shows others have same issue but no fixes have worked for me 

I'm on the latest IOS 704 and the most recent version of Dropbox 301

Chat with Apple Support says it is a DropBox issue",1,0,0,1,1,134,0,0,0
Photos won't upload Version 30 auto updated today and now my photos won't upload Luckily my SkyDrive added an upload feature,1,0,0,1,1,21,0,0,0
Please The app in iPhone needs important issue 'share via email',5,0,0,1,1,11,0,0,0
Crashes in iOS 7 Constant crashes in iOS 7 8 crashes in 30 minutes  Evernote not really ready for new iOS,1,0,0,1,1,22,0,0,0
"Html viewing not working I generally love Dropbox, but since I upgraded to iOS 7 I can no longer view html files properly (I am referring to files saved on my Dropbox as html) I used to view them displayed nicely as web pages, but now I just see the source code instead! Can you please fix that??

Also, can you please add the option to copy and move files? It would be a very useful feature!! Thanks!",3,0,0,1,1,77,1,1,0
"VERY Disappointed The new interface is a very big disappointment Is there any way to get Version 232 back?
Way too much white space which is hard on the eyes Also, still not able to rename files -- unbelievable!!!",1,0,0,1,1,38,1,1,0
I wish I could give it zero stars I've not been able to use the app because it keeps crashing! What a PAIN!,1,0,0,1,1,23,0,1,0
Still waiting Caught in a loop forever after trying to load a video and also forever looping in the initial how to adobe file Very sad,1,0,0,1,1,26,0,0,0
" 152 Update	What's happened to this app? The people I follow page isn't working properly, the images disappear and nothing happens when it's refreshed! It's been all good until now Fix it please",1,0,0,1,1,33,1,1,0
Pretty good It's an amazing app and I love it's features except for one little problem The GPS feature is a bit off I'm at home and when I want to make a quick note it gives me the wrong address It would be great if this could get fixed,4,0,0,1,1,50,0,0,0
"New Update crashes Since new update 21 on Feb 15th, I get a splash screen followed by a crash
Otherwise, 5*",1,0,0,1,1,20,0,0,0
Stop!!! loading pics I did not give permission to upload pics The settings say its off yet it continues to upload STOP!!!,1,0,0,1,1,22,0,1,0
"Disapointed Love the app, but i can't access my recipes that I saved online or save any. It keeps saying they are working on it. Wish I had not purchased it!",2,0,0,1,1,31,0,1,0
"Really!!!???!!! Can not even select a flight date anymore!! Don't waste your time here. Sheesh, why don't ya charge more for luggage so you can hire a programmer!",1,0,0,1,1,28,1,1,0
" Better	Em having Samsung galaxy s 4 ad I am facing problem when I updated what's appplz fix it",4,0,0,1,1,19,0,0,0
"LOUSYNOT DEPENDABLE I had this program for 2 months, had allot of very important information kept inside, picturesnotesmemos, etc ,all of a sudden while using it, it CRASHED on me and when I went back in, everything was gone! Wiped out completely!?! I use an IPad 2 with plenty of memory, had no other programs running to even suggest a conflict! DO NOT USE THIS UNLESS YOU WISH TO RISK LOSING IMPORTANT DOCUMENTSfiles information TRUST ME, I am very computer literate  This program is loaded with problems even if you continue to download all there 'bug fixes'",1,0,0,1,1,98,1,1,0
"bad app LOST PRECIOUS MEMORIES awful appI uploaded HUNDREDS of photos but app could not upload them alllost hundreds of precious memories of concerts, times with friends, etc I was SOLELY relying on this app I had NO back up for these photos and deleted them when it said they were done now they are gone I can NOT access them",1,0,0,1,1,61,0,0,0
"Needs work! ?? Can't login in on my iPad 3, tells me my password is incorrect.",2,0,0,1,1,16,1,1,0
Last Update ios 70 is Disastrous!!!!!! I'm SO upset! I've been using this app for a year &amp have patiently endured the slow process of improvement It had really gotten quite good Then this last bungled attempt has made the app virtually useless Shame on Evernote's QC group (if they even have one?),1,0,0,1,1,53,1,1,0
"still issue with iWork My iPad air and iPhone 4 on iOS 7 still will not open any pages documents, all they show is the document name and size",2,0,0,1,1,29,0,0,0
"NA Great!! Need more country backgrounds & borders...	Need more country backgrounds and borders..
",4,0,0,1,1,13,0,1,0
Annoying functionality When you select an attraction and click around to read reviews and view pictures and then go back to the full like it defaults back to the beginning of the list and you have to hit 'next page' a several times to find the place you left off Very annoying,3,0,0,1,1,52,0,0,0
"Doesn't work after the last update I love Evernote I use it on my Mac and I use it on my iPhone I love the Evernote app but ever since the last update, which was a few days ago, this app has been giving me nothing but problems Sometimes it just doesn't open All I keep seeing is a blank screen Sometimes it opens up but then while going back and forth between notes or notebooks it simply gets stuck and doesn't respond to any finger taps or actions I hope the Evernote people improve this app and fix these bugs because I truly love Evernote and would like to keep using it But lately I have encountered nothing but serious quality problems with Evernote",1,0,0,1,1,125,0,0,0
"Terrible. Doesn't let add pictures and.. And on top of that every posting requires re-verification through email, even to re-post postings on a verified account I have on which through computer it asks for nothing. 

When trying to add a picture to the posting, the ""add picture"" links are frayed out so you can't click to upload photos. 

Terrible all around.",1,0,0,1,1,61,0,0,0
"NA Where dat mini games at?	There should be mini games like in the iphone/ipod version",3,0,0,1,1,15,1,0,0
Awfull This app isnt that great first it dont let u play flash videos n the rexomended video is horrible it always pops up that my connection is bad wen i have full bars its slow and crashes,1,0,0,1,1,38,0,0,0
Hell no! Ya they went way to far! There was a bug the the game that sold your cell phone info and charge u things that you don't agree to.  So to hell with angry birds.  Don't get it....it's a scam to take more money then u paid for and sign u up to pay $10.00 each month from ur phone bill to pay some other county. It's a scam!!!!!!! That is ur warning!!!!,1,0,0,1,1,76,0,1,0
Great for texting??and calling?? It is an awesome app to have. But it sometime shuts down when u try to open it. But the calls r ok and the texting is good!?????????????????????????????????????????????????????????????????,5,0,0,1,1,32,1,1,0
Doesn't work!! It was working fine with no problems and now I can't even get the app to open!! Not happy about this at all!! Please fix!!! I even deleted the app and re downloaded n it still doesn't open this is very frustrating because this a great app when it actually works!!,1,0,0,1,1,53,0,1,0
Not working Crashes as soon as I try to load it.,1,0,0,1,1,11,0,0,0
"It's not ok I like the fact that I can download drop box on any device and share pics What I don't like is the time it takes to download pics and that in order to download I have to always be connected to the Internet, this keeps the pics from downloading some times when I am away from wifi 2613 i'm still trying to figure out app support pictures are not downloading and i am going to remove this app from my IPAD its worthless",1,0,0,1,1,86,0,0,0
" Finebt cud b improved!!	Its d most popular app in any smartphn But it has becum too slow since d last update!! Pls fix!! Odrwse it s a 5 on 5 material!!",1,0,0,1,1,32,0,1,0
Update ruined it Loved this game. My husband n I were on competition I updated he didn't. No way can u get ahead if I can't reset. Deleting a once awesome game.,1,0,0,1,1,32,0,0,0
Doesn't even open! Downloaded it to find that it doesn't even open The AppStore says it's downloaded but nothing shows up in my app selection screen,1,0,0,1,1,26,0,1,0
Great concept But One flaw is the fact that its almost impossible to load mp3s or WAV files over data It will play for a second or two then say its unable to load this file Fix please!,3,0,0,1,1,38,0,1,0
Poor Compatibility and Terrible Design Why is this for iOS 7 only now? Not very fair for people wanting to run this on older devices or don't wish to downgrade to cruddy iOS 7,1,0,0,1,1,34,1,0,0
Keeps Crashing! Since the last update the app keeps crashing I need my notes! Please help,1,0,0,1,1,16,0,1,0
"Hate this update!!!!! I want the old version , this don't have the option to share my files via Facebook message ,please bring back the previous version or fix that !!!!",1,0,0,1,1,31,0,1,0
"Black out screen &amp downloading zip file problems I've always found Dropbox a bit buggy, but it's gotten worse since I updated to IOS 7  When I download zip files or webpages &amp open the files, the screen is blank, blackened or a blurred enlarged image of the symbol (of Facebook, Google or other symbols related to the site that the the zip file or webpages it came from 

As a teacher, I rely on having access online &amp off line related to research  for work my work as a teacher  Also, I am required to write notes &amp save them as zip files in order to save space

So, please fix Dropbox! Why does it keep telling me that I can't open some documents &amp that I don't have the authorization to alter or edit my document on the flip side, some documents tell me to enter a password (???)

If anyone has any suggestions to improve this or recommends a different program to recommend, I would appreciate it

Thanks!",2,0,0,1,1,171,1,1,0
" I like this app, which allow us to chat, share music and video	But in my mobile, after downloading the app, it works six months after that again it shows date failure and it will not work Again I have to download",5,0,0,1,1,42,0,0,0
" It's awesome	However recently there is lapse to receive the message  Didn't receive notification until open up the app",4,0,0,1,1,20,0,0,0
"NA Nice	Nice app, I enjoy it but my kids have more fun. I wish they had more manly stuff. Until then I give it 4 stars
",4,0,0,1,1,26,0,0,0
"Bummed cant share folders It allows me to share individual photos but not entire folders!  What good is that?? I can easily text someone a single photo  WTH ?  I want to be able to send a link to people of an entire folder with many pics in it from my mobile  Seems useless now 

On the other hand I do like that I can view and share excel documents That's pretty cool Although it does take quite a while to load it seems",2,0,0,1,1,88,1,1,0
"Hard to navigate You can't scroll very well when your trying to find a hotel, there's no search function that would find the hotel I was staying at and the attractions around and close by When scrolling  the hotels you would get to the bottom but it would let go on the the next 20 until you tap on a hotel then you could scroll down to the next 20 It has some good photos of every thing when you find it it doesn't perform  well on my iPad it's slow and it hard find what information your looking for if I was to use to book a hotel it might be worth it",2,0,0,1,1,116,0,0,0
"No more options for styling as paragraph or section?!! I can't believe you guys removed one of the most useful features of Evernote, which was the ability to style lines as either a section, subsection, paragraph or blockquote That was the only way we could give some hierarchy to our notes

Now all my notes are one dimensional and its impossible to organize my thoughts How could the Evernote team consider that this feature was unnecessary? Do you guys not use your own app? How am I supposed to outline my notes? This is really a big let down to an otherwise great update But it's too big an omission for me too be happy about anything else That's why I give it 2 stars",2,0,0,1,1,124,1,1,0
"Really Bad Transfer I just tested this app out so that I could view Horrible Bosses as an UltraViolet Digital Copy, and I noticed that the movie was hard to see in some places because of what looked like really bad blurry areas right after the logos. This happened throughout the movie. This never happened to me with the regular digital copies that were compatible with iTunes. I could see everything clearly when I was using the regular digital copies. I think that if I have to buy these combo packs with UltraViolet Digital Copy, I will never use this app again. I'll stick to the UltraViolet/Flixster cloud because there it wasn't blurry at all. On top of this, since the update ALL the UltraViolet movies are buffering and skipping. This never happened with my last update. Please fix.",1,0,0,1,1,139,0,0,0
"Keeps freezing The app used to work great, but now it keeps freezing and I can't get into my  notes It is very frustrating I have to delete the app and download it again What a pain!!",3,0,0,1,1,38,0,1,0
Great app when it works Freezing on start up all the time Becomes useless Considering other apps,1,0,0,1,1,17,0,0,0
Way too many hang ups. Hangs up multiple points in interface. Way too buggy to be useable.,1,0,0,1,1,17,0,0,0
"Keeps getting better still a little buggy Im on an original iPad mini and so maybe that's part of he deal but it seems like there are still little thins that need some work For example the spell check doesn't work just right and the search is slow at times Neither of these or any others will keep from giving this app a great rating 

I also think that here are improvements I hope to see in the future One is full screen mode Maybe I'm missing this but the only time you get full screen is when you start a new note I'd like this options when reading or editing too 

Keep up the good work!",4,0,0,1,1,117,0,1,0
"Horrible The Evernote desktop version effectively ruined my windows 7 computer and brought to a halt my MS Office especially outlook  Still trying to repair the effects of this program Sadly haven't even got to really use the program   If you use a Mac then maybe no issues, but it was a bad purchase for this windows computer user",1,0,0,1,1,62,0,0,0
Crashes!!! This app keeps crashing as its loading my document Im a student in college using my iPad and this is not very good considering this is my book file,1,0,0,1,1,30,0,1,0
Select allwhat the hell happened to that basic functionality?? Seriouslywhy did select all functionality no longer available on everything?! (For most apple app) If i need to upload 500 imagesi have to check those 500 images one-by-one!?!,1,0,0,1,1,37,1,1,0
"Good design, but buggy The layout is very clean but it fails to load editing settings or feedback components It has potential, but is still buggy",3,0,0,1,1,26,0,0,0
